generation;avg-f1;avg-f2;avg-f3;sizepareto;time(ms);numberiterationfirstgenerationfixederror
1;3.1;8.08;62.8;
2;3.28;7.76;62.72;18
3;3.11;6.86;61.0;13
4;2.97;6.53;59.6;12
5;2.89;6.32;60.54;12
6;2.91;6.17;60.34;11
7;2.97;6.09;61.62;11
8;2.81;6.46;59.64;15
9;2.93;6.26;60.58;12
10;2.88;6.32;62.07;12
11;2.8;5.84;60.96;12
12;2.82;5.81;61.03;12
13;2.89;5.9;61.82;13
14;2.88;5.88;61.36;12
15;2.88;5.62;60.91;10
16;2.94;5.59;60.88;13
17;2.9;5.87;61.89;11
18;2.98;6.04;61.29;11
19;2.94;5.61;61.17;11
20;2.89;5.63;61.28;11
21;2.93;5.69;61.73;12
22;3.07;5.33;61.19;12
23;3.19;5.94;61.37;13
24;3.09;5.47;59.06;12
25;3.24;5.63;61.18;13
26;3.14;6.0;60.52;14
27;3.03;6.2;60.98;12
28;2.98;5.74;59.68;13
29;3.09;5.64;59.78;13
30;3.05;5.49;60.83;12
31;3.29;5.91;61.65;10
32;3.15;6.08;60.46;11
33;3.2;5.71;60.52;13
34;3.21;6.41;61.47;14
35;3.24;5.74;60.45;11
36;3.18;6.03;61.12;11
37;3.05;5.82;61.33;11
38;3.0;6.08;61.31;12
39;3.19;5.52;60.24;12
40;3.17;5.93;61.08;13
41;2.93;5.76;60.33;11
42;3.16;5.92;61.2;13
43;3.2;5.98;61.06;12
44;3.1;6.07;61.08;11
45;2.94;6.09;60.37;12
46;3.13;5.86;60.36;12
47;3.09;6.14;60.87;10
48;3.11;6.2;60.92;12
49;3.01;6.06;60.71;12
50;3.14;5.94;61.17;13
51;2.97;6.31;60.36;14
52;3.02;5.95;61.21;12
53;2.95;5.78;60.53;10
54;2.9;5.9;61.14;12
55;3.0;6.19;60.35;11
56;3.03;6.15;61.14;10
57;3.12;6.38;61.05;13
58;3.39;6.22;60.46;12
59;3.07;6.07;61.01;11
60;3.05;5.45;60.96;11
61;3.13;5.83;60.82;11
62;3.07;5.84;60.55;11
63;3.04;6.31;61.14;13
64;3.14;5.87;61.23;14
65;3.03;5.77;61.05;12
66;2.9;5.8;61.08;11
67;3.02;5.81;61.19;13
68;2.99;5.84;60.93;13
69;3.0;5.83;60.87;13
70;2.83;5.35;61.5;11
71;2.85;5.69;61.16;12
72;2.87;5.16;60.54;12
73;2.75;6.03;61.73;13
74;2.94;5.41;60.86;12
75;2.86;5.31;59.88;10
76;2.81;4.96;60.86;10
77;2.82;5.68;60.99;11
78;2.97;5.2;59.41;12
79;2.83;5.22;61.06;12
80;2.81;5.81;61.03;12
81;2.76;5.13;61.08;10
82;2.72;5.44;61.42;10
83;2.85;4.74;61.31;12
84;2.66;5.45;61.8;12
85;2.77;4.76;60.68;10
86;2.69;5.34;60.94;10
87;2.67;5.3;61.22;10
88;2.56;5.72;61.14;11
89;2.66;5.11;61.56;13
90;2.6;4.9;61.39;9
91;2.7;5.35;61.67;11
92;2.58;4.99;61.58;12
93;2.49;5.12;61.43;10
94;2.63;5.3;61.71;11
95;2.57;4.7;61.15;9
96;2.72;5.09;61.94;12
97;2.62;5.09;61.84;11
98;2.64;5.23;61.7;11
99;2.73;5.2;61.38;12
100;2.56;5.39;61.65;12
101;2.43;5.36;61.39;11
102;2.52;5.47;61.41;13
103;2.59;5.17;61.64;12
104;2.55;5.14;61.68;12
105;2.65;4.85;61.58;11
106;2.55;5.13;61.76;11
107;2.54;4.88;61.47;10
108;2.55;5.39;61.84;12
109;2.55;5.3;61.55;12
110;2.46;5.43;61.82;12
111;2.5;5.13;61.17;11
112;2.49;5.3;60.9;11
113;2.45;5.13;61.25;10
114;2.51;4.67;61.4;10
