generation;avg-f1;avg-f2;avg-f3;sizepareto;time(ms);numberiterationfirstgenerationfixederror
173;4.46;7.6;11.26;13
174;4.72;8.21;11.83;13
175;4.33;8.24;11.45;12
176;4.46;7.71;11.46;13
177;4.44;8.3;11.6;12
178;4.36;7.78;11.35;12
179;4.28;7.85;11.23;12
180;4.48;7.29;11.15;13
181;4.78;8.04;11.68;14
182;4.57;7.92;11.41;14
183;4.71;7.82;11.45;13
184;4.68;8.2;11.54;13
185;4.59;8.22;11.4;13
186;4.66;8.09;11.69;13
187;4.72;8.32;11.75;13
188;4.35;7.81;11.17;11
189;4.46;8.19;11.63;13
190;4.63;7.77;11.27;12
191;4.61;7.87;11.58;14
192;9.56;16.03;22.92;14
193;4.51;7.84;11.3;12
194;4.74;7.81;11.44;12
195;4.69;8.06;11.79;14
196;4.94;8.08;11.69;13
197;4.67;8.25;12.2;12
198;4.51;8.42;11.72;13
199;4.57;8.31;11.76;14
200;4.68;8.36;12.01;15
201;4.4;7.85;11.43;13
202;4.57;8.32;11.86;11
203;4.19;7.91;11.55;11
204;4.38;7.65;11.59;13
205;4.52;7.68;11.38;12
206;4.26;7.12;11.13;13
207;4.42;7.54;11.44;13
208;4.57;7.61;11.33;13
209;4.33;7.09;10.93;13
210;4.45;7.07;11.13;13
211;4.64;8.15;11.93;13
212;4.68;7.83;12.03;13
213;4.72;7.85;11.73;13
214;4.49;7.65;11.63;11
215;4.76;7.95;12.16;14
216;4.76;7.89;11.94;13
217;4.58;7.74;11.19;12
218;4.29;7.45;11.3;14
219;4.7;7.91;11.79;16
220;4.6;7.66;11.67;14
221;4.55;7.4;11.57;11
222;4.77;8.01;11.83;14
223;4.71;7.31;11.7;12
224;4.65;7.46;11.35;15
225;4.11;7.77;11.34;12
226;4.57;7.72;11.51;15
227;4.51;7.75;11.64;15
228;4.75;8.08;11.89;14
229;4.65;7.69;11.82;12
230;4.7;7.67;11.72;12
231;9.31;14.78;22.66;13
232;4.63;8.65;12.2;13
233;4.69;7.71;11.53;10
234;4.47;7.84;11.5;12
235;4.61;7.85;11.45;15
236;4.78;7.45;11.86;14
237;4.55;7.88;11.88;14
238;4.62;7.71;11.7;14
239;4.39;7.12;11.27;13
240;4.75;7.98;11.91;13
241;4.44;8.08;11.52;12
242;4.56;8.49;11.85;14
243;4.66;7.83;11.7;12
244;4.57;7.65;11.49;13
245;9.29;15.17;22.86;14
246;4.7;8.02;11.67;13
247;4.72;8.51;12.35;14
248;4.63;7.75;11.21;13
249;4.84;7.65;11.44;15
250;4.86;8.04;12.01;13
251;4.71;8.32;11.83;14
252;4.92;7.81;11.56;13
253;4.81;8.03;11.64;12
254;4.66;7.28;11.71;13
255;4.85;7.98;11.89;12
256;4.95;7.87;11.64;13
257;4.55;8.16;11.78;13
258;4.84;7.6;11.55;12
259;4.83;7.93;11.85;12
260;4.88;7.38;11.25;13
261;4.92;7.93;11.85;15
262;5.06;8.35;11.92;14
263;4.78;7.82;11.95;11
264;4.77;7.51;11.81;12
265;4.9;8.17;12.1;12
266;4.84;8.02;11.81;13
267;5.03;7.82;11.91;12
268;4.7;7.7;11.34;14
269;4.98;7.94;11.74;15
270;4.79;7.51;11.4;14
271;5.0;7.44;11.8;16
272;4.99;7.62;11.65;13
273;4.9;7.57;11.34;12
274;4.78;7.72;11.41;12
275;4.9;8.09;11.49;14
276;4.93;7.49;11.63;13
277;5.23;7.95;11.98;14
278;4.88;7.63;11.58;12
279;4.87;7.57;11.62;13
280;4.74;8.32;11.76;14
281;4.77;7.83;11.92;13
282;4.7;7.98;11.5;12
283;4.75;8.27;11.94;14
284;4.68;7.78;11.24;13
285;5.02;8.15;11.85;13
286;4.9;7.68;11.7;13
287;4.9;7.58;11.74;14
288;4.69;7.69;11.6;12
289;5.01;8.12;11.93;14
290;4.97;7.24;11.47;12
291;5.11;8.17;11.91;14
292;4.68;7.62;11.34;13
293;4.95;8.13;11.87;13
294;4.88;7.86;11.74;12
295;5.06;7.9;11.96;12
296;5.13;7.56;11.5;13
297;4.97;7.92;12.06;16
298;5.26;8.63;12.0;13
299;5.0;7.77;11.94;13
300;5.0;7.85;12.07;13
301;5.27;8.19;12.0;14
302;4.91;8.05;11.89;12
303;5.03;8.23;12.26;15
304;5.13;7.82;11.81;14
305;4.89;7.36;11.77;13
306;4.85;7.46;11.88;13
307;4.9;7.95;11.54;13
308;4.91;7.66;11.73;12
309;4.88;7.52;11.86;13
310;5.04;7.42;11.52;12
311;9.87;15.26;23.4;15
312;4.9;7.68;11.73;12
313;4.59;7.54;11.39;14
